url	md5	Data collection	Data type	Analysis group	Sample	Population	Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031846/ERR031846_1.fastq.gz	ed6f7e8ce64f2a9899a1d7d370e20c5b	1000 Genomes on GRCh38	sequence	Exome	HG00479	Han Chinese South	http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR031/ERR031846/ERR031846_2.fastq.gz	3f6f3f7a19d36e2dd4a2a76cadb88a8f	1000 Genomes on GRCh38	sequence	Exome	HG00479	Han Chinese South	http://www.1000genomes.org/about#g1k_data_reuse
